scientificNameID,nameType,scientificName,scientificNameHTML,canonicalName,canonicalNameHTML,nameElement,nomenclaturalStatus,scientificNameAuthorship,autonym,hybrid,cultivar,formula,scientific,nomInval,nomIlleg,namePublishedIn,namePublishedInID,namePublishedInYear,nameInstanceType,nameAccordingToID,nameAccordingTo,originalNameUsage,originalNameUsageID,originalNameUsageYear,typeCitation,kingdom,family,genericName,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,taxonRankSortOrder,taxonRankAbbreviation,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID,created,modified,nomenclaturalCode,datasetName,taxonomicStatus,statusAccordingTo,license,ccAttributionIRI
https://id.biodiversity.org.au/name/apni/72710,scientific,Acanthus ebracteatus subsp. ebarbatus R.M.Barker,"<scientific><name data-id='72710'><scientific><name data-id='72706'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ebracteatus</element></name></scientific> <rank data-id='54410'>subsp.</rank> <element>ebarbatus</element> <authors><author data-id='1618' title='Barker, R.M.'>R.M.Barker</author></authors></name></scientific>",Acanthus ebracteatus subsp. ebarbatus,<scientific><name data-id='72710'><scientific><name data-id='72706'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ebracteatus</element></name></scientific> <rank data-id='54410'>subsp.</rank> <element>ebarbatus</element></name></scientific>,ebarbatus,,R.M.Barker,f,f,f,f,t,f,f,"Barker, R.M. (12 September 1986), A taxonomic revision of Australian Acanthaceae. Journal of the Adelaide Botanic Gardens 9 [73]",https://id.biodiversity.org.au/reference/apni/23415,1986,tax. nov.,https://id.biodiversity.org.au/instance/apni/484438,"Barker, R.M. (1986-09-12)",,,,"type: ""Martensz & Schodde AE 743, 5.ii.1973, East Alligator River (CANB); Isotypes: DNA, NT).""",Plantae,Acanthaceae,Acanthus,ebracteatus,ebarbatus,,Subspecies,200,subsp.,,,,,1996-11-28 13:26:41+11,1996-11-28 13:26:41+11,ICN,APNI,accepted,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72710
https://id.biodiversity.org.au/name/apni/72713,autonym,Acanthus ebracteatus Vahl subsp. ebracteatus,"<scientific><name data-id='72713'><scientific><name data-id='72706'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ebracteatus</element> <authors><author data-id='7027' title='Vahl, M.(H.)'>Vahl</author></authors></name></scientific> <rank data-id='54410'>subsp.</rank> <element>ebracteatus</element></name></scientific>",Acanthus ebracteatus subsp. ebracteatus,<scientific><name data-id='72713'><scientific><name data-id='72706'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ebracteatus</element></name></scientific> <rank data-id='54410'>subsp.</rank> <element>ebracteatus</element></name></scientific>,ebracteatus,,,t,f,f,f,t,f,f,"Barker, R.M. (12 September 1986), A taxonomic revision of Australian Acanthaceae. Journal of the Adelaide Botanic Gardens 9 [72]",https://id.biodiversity.org.au/reference/apni/23415,1986,autonym,https://id.biodiversity.org.au/instance/apni/484444,"Barker, R.M. (1986-09-12)",,,,Acanthus ebracteatus Vahl,Plantae,Acanthaceae,Acanthus,ebracteatus,ebracteatus,,Subspecies,200,subsp.,,,,,1996-11-28 13:26:41+11,2020-07-13 11:35:30.405652+10,ICN,APNI,unplaced,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72713
https://id.biodiversity.org.au/name/apni/72706,scientific,Acanthus ebracteatus Vahl,"<scientific><name data-id='72706'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ebracteatus</element> <authors><author data-id='7027' title='Vahl, M.(H.)'>Vahl</author></authors></name></scientific>",Acanthus ebracteatus,<scientific><name data-id='72706'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ebracteatus</element></name></scientific>,ebracteatus,,Vahl,f,f,f,f,t,f,f,"Vahl, M.(H.) (1791), Symbolae Botanicae 2 [75, t. XL.]",https://id.biodiversity.org.au/reference/apni/26762,1791,tax. nov.,https://id.biodiversity.org.au/instance/apni/484434,"Vahl, M.(H.) (1791)",,,,"type: ""Habitat in India Orientali. KÖNIG.""",Plantae,Acanthaceae,Acanthus,ebracteatus,,,Species,190,sp.,,,,,1996-11-28 13:26:41+11,2020-07-14 06:00:04.605+10,ICN,APNI,accepted,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72706
https://id.biodiversity.org.au/name/apni/72719,autonym,Acanthus ilicifolius L. var. ilicifolius,"<scientific><name data-id='72719'><scientific><name data-id='72714'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ilicifolius</element> <authors><author data-id='1426' title='Linnaeus, C.'>L.</author></authors></name></scientific> <rank data-id='54412'>var.</rank> <element>ilicifolius</element></name></scientific>",Acanthus ilicifolius var. ilicifolius,<scientific><name data-id='72719'><scientific><name data-id='72714'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ilicifolius</element></name></scientific> <rank data-id='54412'>var.</rank> <element>ilicifolius</element></name></scientific>,ilicifolius,,,t,f,f,f,t,f,f,"Nees von Esenbeck, C.G.D. in Candolle, A.L.P.P. de (ed.) (25 November 1847), Acanthaceae. Prodromus Systematis Naturalis Regni Vegetabilis 11 [269]",https://id.biodiversity.org.au/reference/apni/26656,1847,autonym,https://id.biodiversity.org.au/instance/apni/484453,"Nees von Esenbeck, C.G.D. (1847-11-25)",,,,Acanthus ilicifolius L.,Plantae,Acanthaceae,Acanthus,ilicifolius,ilicifolius,,Varietas,210,var.,,,,,1996-11-28 13:26:41+11,1996-11-28 13:26:41+11,ICN,APNI,unplaced,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72719
https://id.biodiversity.org.au/name/apni/72722,scientific,Acanthus ilicifolius var. subinteger Nees,"<scientific><name data-id='72722'><scientific><name data-id='72714'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ilicifolius</element></name></scientific> <rank data-id='54412'>var.</rank> <element>subinteger</element> <authors><author data-id='6893' title='Nees von Esenbeck, C.G.D.'>Nees</author></authors></name></scientific>",Acanthus ilicifolius var. subinteger,<scientific><name data-id='72722'><scientific><name data-id='72714'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ilicifolius</element></name></scientific> <rank data-id='54412'>var.</rank> <element>subinteger</element></name></scientific>,subinteger,,Nees,f,f,f,f,t,f,f,"Nees von Esenbeck, C.G.D. in Candolle, A.L.P.P. de (ed.) (25 November 1847), Acanthaceae. Prodromus Systematis Naturalis Regni Vegetabilis 11 [269]",https://id.biodiversity.org.au/reference/apni/26656,1847,tax. nov.,https://id.biodiversity.org.au/instance/apni/484458,"Nees von Esenbeck, C.G.D. (1847-11-25)",,,,"type: ""In insula Java (Junghum!)""",Plantae,Acanthaceae,Acanthus,ilicifolius,subinteger,,Varietas,210,var.,,,,,1996-11-28 13:26:41+11,1996-11-28 13:26:41+11,ICN,APNI,unplaced,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72722
https://id.biodiversity.org.au/name/apni/72730,scientific,Acanthus ilicifolius var. typica Domin,"<scientific><name data-id='72730'><scientific><name data-id='72714'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ilicifolius</element></name></scientific> <rank data-id='54412'>var.</rank> <element>typica</element> <authors><author data-id='6860' title='Domin, K.'>Domin</author></authors></name></scientific>",Acanthus ilicifolius var. typica,<scientific><name data-id='72730'><scientific><name data-id='72714'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ilicifolius</element></name></scientific> <rank data-id='54412'>var.</rank> <element>typica</element></name></scientific>,typica,nom. inval.,Domin,f,f,f,f,t,t,f,"Domin, K. (1929), Beitrage zur Flora und Pflanzengeographie Australiens. Bibliotheca Botanica 22(89) [1157]",https://id.biodiversity.org.au/reference/apni/29249,1929,primary reference,https://id.biodiversity.org.au/instance/apni/484474,"Domin, K. (1929)",,,,,Plantae,Acanthaceae,Acanthus,ilicifolius,typica,,Varietas,210,var.,,,,,1996-11-28 13:26:41+11,2020-06-29 11:54:22.009854+10,ICN,APNI,unplaced,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72730
https://id.biodiversity.org.au/name/apni/72714,scientific,Acanthus ilicifolius L.,"<scientific><name data-id='72714'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ilicifolius</element> <authors><author data-id='1426' title='Linnaeus, C.'>L.</author></authors></name></scientific>",Acanthus ilicifolius,<scientific><name data-id='72714'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>ilicifolius</element></name></scientific>,ilicifolius,,L.,f,f,f,f,t,f,f,"Linnaeus, C. (1 May 1753), Species Plantarum 2 [639]",https://id.biodiversity.org.au/reference/apni/22411,1753,tax. nov.,https://id.biodiversity.org.au/instance/apni/484445,"Linnaeus, C. (1753-05-01)",,,,"type: ""Habitat in India.""",Plantae,Acanthaceae,Acanthus,ilicifolius,,,Species,190,sp.,,,,,1994-07-06 00:00:00+10,1994-07-06 00:00:00+10,ICN,APNI,accepted,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72714
https://id.biodiversity.org.au/name/apni/72737,scientific,Acanthus mollis L.,"<scientific><name data-id='72737'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>mollis</element> <authors><author data-id='1426' title='Linnaeus, C.'>L.</author></authors></name></scientific>",Acanthus mollis,<scientific><name data-id='72737'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>mollis</element></name></scientific>,mollis,,L.,f,f,f,f,t,f,f,"Linnaeus, C. (1 May 1753), Species Plantarum 2 [639 (err. typ. 939).]",https://id.biodiversity.org.au/reference/apni/22411,1753,tax. nov.,https://id.biodiversity.org.au/instance/apni/484483,"Linnaeus, C. (1753-05-01)",,,,"type: ""Habitat in Italie, Siciliae humentibus, duris.""",Plantae,Acanthaceae,Acanthus,mollis,,,Species,190,sp.,,,,,1996-11-28 13:26:41+11,1996-11-28 13:26:41+11,ICN,APNI,accepted,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72737
https://id.biodiversity.org.au/name/apni/72744,scientific,Acanthus volubilis Wall.,"<scientific><name data-id='72744'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>volubilis</element> <authors><author data-id='6975' title='Wallich, N.'>Wall.</author></authors></name></scientific>",Acanthus volubilis,<scientific><name data-id='72744'><scientific><name data-id='72699'><element>Acanthus</element></name></scientific> <element>volubilis</element></name></scientific>,volubilis,,Wall.,f,f,f,f,t,f,f,"Wallich, N. (6 September 1831), Plantae Asiaticae Rariores 2(8) [56, t. 172]",https://id.biodiversity.org.au/reference/apni/28150,1831,tax. nov.,https://id.biodiversity.org.au/instance/apni/484495,"Wallich, N. (1831-09-06)",,,,"type: ""Crescit in aestuariis Gangis et fluminum Martabaniae, ubi floret sub pluviis. Ad litora aestuariorum Javae et insularum Moluccanum, Rumphius.""",Plantae,Acanthaceae,Acanthus,volubilis,,,Species,190,sp.,,,,,1996-11-28 13:26:41+11,1996-11-28 13:26:41+11,ICN,APNI,unplaced,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72744
https://id.biodiversity.org.au/name/apni/72699,scientific,Acanthus L.,"<scientific><name data-id='72699'><element>Acanthus</element> <authors><author data-id='1426' title='Linnaeus, C.'>L.</author></authors></name></scientific>",Acanthus,<scientific><name data-id='72699'><element>Acanthus</element></name></scientific>,Acanthus,,L.,f,f,f,f,t,f,f,"Linnaeus, C. (1 May 1753), Species Plantarum 2 [639 (err. typ. 939)]",https://id.biodiversity.org.au/reference/apni/22411,1753,tax. nov.,https://id.biodiversity.org.au/instance/apni/484421,"Linnaeus, C. (1753-05-01)",,,,type: (not designated).,Plantae,Acanthaceae,Acanthus,,,,Genus,120,gen.,,,,,2010-01-11 13:57:31+11,2010-01-11 13:57:31+11,ICN,APNI,accepted,APC,https://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/name/apni/72699
